Fichero;Tiempo;Resultado;Evaluaciones
GKD-b_19_n50_m15.txt;28.0;64.342;11392.0
GKD-b_19_n50_m15.txt;40.0;63.4259;16327.0
GKD-b_19_n50_m15.txt;30.0;79.0585;11184.0
GKD-b_19_n50_m15.txt;32.0;62.1403;12325.0
GKD-b_20_n50_m15.txt;33.0;54.7286;11516.0
GKD-b_20_n50_m15.txt;33.0;47.7151;11691.0
GKD-b_20_n50_m15.txt;27.0;74.8419;10023.0
GKD-b_20_n50_m15.txt;29.0;65.9017;11177.0
GKD-b_20_n50_m15.txt;29.0;63.7574;10759.0
GKD-b_21_n100_m10.txt;44.0;27.297;20394.0
GKD-b_21_n100_m10.txt;39.0;32.7646;17343.0
GKD-b_21_n100_m10.txt;35.0;20.1468;15794.0
GKD-b_21_n100_m10.txt;49.0;14.843;18180.0
GKD-b_21_n100_m10.txt;42.0;24.0922;17329.0
GKD-b_22_n100_m10.txt;44.0;23.6653;17949.0
GKD-b_22_n100_m10.txt;30.0;23.2067;14320.0
GKD-b_22_n100_m10.txt;32.0;27.6411;14727.0
GKD-b_22_n100_m10.txt;35.0;30.4122;17735.0
GKD-b_22_n100_m10.txt;31.0;23.99;15410.0
GKD-b_23_n100_m10.txt;42.0;31.5079;18729.0
GKD-b_23_n100_m10.txt;44.0;28.7333;18551.0
GKD-b_23_n100_m10.txt;36.0;29.2486;17295.0
GKD-b_23_n100_m10.txt;25.0;18.0049;13178.0
GKD-b_23_n100_m10.txt;39.0;26.566;17298.0
GKD-b_24_n100_m10.txt;42.0;23.4077;20375.0
GKD-b_24_n100_m10.txt;38.0;27.8706;16889.0
GKD-b_24_n100_m10.txt;33.0;26.4153;13674.0
GKD-b_24_n100_m10.txt;35.0;29.1434;13594.0
GKD-b_24_n100_m10.txt;34.0;24.8589;15982.0
GKD-b_25_n100_m10.txt;43.0;17.9127;17592.0
GKD-b_25_n100_m10.txt;41.0;28.2195;17285.0
GKD-b_25_n100_m10.txt;38.0;23.3948;16279.0
GKD-b_25_n100_m10.txt;44.0;28.8927;20027.0
GKD-b_25_n100_m10.txt;43.0;29.4525;17475.0
GKD-b_26_n100_m30.txt;230.0;289.568;52631.0
GKD-b_26_n100_m30.txt;229.0;247.236;50957.0
GKD-b_26_n100_m30.txt;303.0;210.765;75122.0
GKD-b_26_n100_m30.txt;285.0;188.716;66698.0
GKD-b_26_n100_m30.txt;212.0;193.664;46218.0
GKD-b_27_n100_m30.txt;194.0;188.103;48220.0
GKD-b_27_n100_m30.txt;208.0;201.631;52902.0
GKD-b_27_n100_m30.txt;205.0;213.284;50008.0
GKD-b_27_n100_m30.txt;229.0;189.304;55301.0
GKD-b_27_n100_m30.txt;242.0;251.015;57056.0
GKD-b_28_n100_m30.txt;253.0;191.922;60081.0
GKD-b_28_n100_m30.txt;225.0;247.557;48704.0
GKD-b_28_n100_m30.txt;251.0;191.91;63889.0
GKD-b_28_n100_m30.txt;302.0;181.692;73395.0
GKD-b_28_n100_m30.txt;262.0;259.015;60976.0
GKD-b_29_n100_m30.txt;285.0;243.824;48494.0
GKD-b_29_n100_m30.txt;294.0;210.982;52595.0
GKD-b_29_n100_m30.txt;269.0;200.723;61677.0
GKD-b_29_n100_m30.txt;248.0;260.729;49495.0
GKD-b_29_n100_m30.txt;285.0;202.582;53845.0
GKD-b_30_n100_m30.txt;273.0;184.965;62605.0
GKD-b_30_n100_m30.txt;253.0;242.149;65301.0
GKD-b_30_n100_m30.txt;322.0;195.221;66317.0
GKD-b_30_n100_m30.txt;314.0;215.323;55107.0
GKD-b_30_n100_m30.txt;237.0;319.38;42020.0
GKD-b_31_n125_m12.txt;77.0;15.5336;27519.0
GKD-b_31_n125_m12.txt;112.0;28.5576;25007.0
GKD-b_31_n125_m12.txt;104.0;26.923;33676.0
GKD-b_31_n125_m12.txt;113.0;21.0991;42015.0
GKD-b_31_n125_m12.txt;110.0;25.8317;39947.0
GKD-b_32_n125_m12.txt;93.0;38.9458;24536.0
GKD-b_32_n125_m12.txt;65.0;32.0016;27463.0
GKD-b_32_n125_m12.txt;67.0;33.0646;25132.0
GKD-b_32_n125_m12.txt;69.0;31.344;25431.0
GKD-b_32_n125_m12.txt;78.0;34.0377;33110.0
GKD-b_33_n125_m12.txt;73.0;38.7958;36406.0
GKD-b_33_n125_m12.txt;85.0;27.8398;29666.0
GKD-b_33_n125_m12.txt;81.0;34.2308;25427.0
GKD-b_33_n125_m12.txt;87.0;24.1945;36834.0
GKD-b_33_n125_m12.txt;57.0;34.8522;21495.0
GKD-b_34_n125_m12.txt;69.0;39.3396;25606.0
GKD-b_34_n125_m12.txt;89.0;35.9646;34762.0
GKD-b_34_n125_m12.txt;65.0;32.5447;28872.0
GKD-b_34_n125_m12.txt;66.0;34.0574;26946.0
GKD-b_34_n125_m12.txt;72.0;35.422;26198.0
GKD-b_35_n125_m12.txt;70.0;22.3159;25766.0
GKD-b_35_n125_m12.txt;79.0;28.7745;30493.0
GKD-b_35_n125_m12.txt;67.0;34.3972;28185.0
GKD-b_35_n125_m12.txt;108.0;35.3988;26948.0
GKD-b_35_n125_m12.txt;87.0;36.3568;29160.0
GKD-b_36_n125_m37.txt;422.0;255.895;73865.0
GKD-b_36_n125_m37.txt;321.0;323.102;60514.0
GKD-b_36_n125_m37.txt;462.0;299.626;80232.0
GKD-b_36_n125_m37.txt;413.0;278.116;65767.0
GKD-b_36_n125_m37.txt;439.0;260.755;79436.0
GKD-b_37_n125_m37.txt;439.0;316.017;75623.0
GKD-b_37_n125_m37.txt;478.0;268.846;74732.0
GKD-b_37_n125_m37.txt;472.0;300.89;84757.0
GKD-b_37_n125_m37.txt;420.0;353.359;74722.0
GKD-b_37_n125_m37.txt;403.0;371.596;69883.0
GKD-b_38_n125_m37.txt;408.0;293.497;69832.0
GKD-b_38_n125_m37.txt;422.0;296.9;74173.0
GKD-b_38_n125_m37.txt;417.0;330.229;80078.0
GKD-b_38_n125_m37.txt;351.0;402.181;71599.0
GKD-b_38_n125_m37.txt;480.0;267.995;76837.0
GKD-b_39_n125_m37.txt;432.0;228.805;73434.0
GKD-b_39_n125_m37.txt;437.0;288.75;84598.0
GKD-b_39_n125_m37.txt;451.0;278.987;86827.0
GKD-b_39_n125_m37.txt;418.0;310.675;76752.0
GKD-b_39_n125_m37.txt;397.0;259.476;74772.0
GKD-b_40_n125_m37.txt;370.0;308.086;71948.0
GKD-b_40_n125_m37.txt;479.0;334.995;83972.0
GKD-b_40_n125_m37.txt;364.0;328.302;69152.0
GKD-b_40_n125_m37.txt;463.0;350.635;86854.0
GKD-b_40_n125_m37.txt;454.0;291.161;78194.0
GKD-b_41_n150_m15.txt;133.0;47.0908;32595.0
GKD-b_41_n150_m15.txt;129.0;35.3584;51558.0
GKD-b_41_n150_m15.txt;111.0;52.3286;37539.0
GKD-b_41_n150_m15.txt;130.0;45.5322;40515.0
GKD-b_41_n150_m15.txt;125.0;44.6921;41347.0
GKD-b_42_n150_m15.txt;129.0;44.2372;42081.0
GKD-b_42_n150_m15.txt;135.0;44.4948;49038.0
GKD-b_42_n150_m15.txt;138.0;45.9183;49816.0
GKD-b_42_n150_m15.txt;152.0;37.7057;52296.0
GKD-b_42_n150_m15.txt;148.0;55.899;50862.0
GKD-b_43_n150_m15.txt;125.0;54.8629;45517.0
GKD-b_43_n150_m15.txt;139.0;46.7023;40036.0
GKD-b_43_n150_m15.txt;138.0;57.1902;49895.0
GKD-b_43_n150_m15.txt;179.0;53.9004;60679.0
GKD-b_43_n150_m15.txt;129.0;44.9191;40242.0
GKD-b_44_n150_m15.txt;109.0;45.338;42121.0
GKD-b_44_n150_m15.txt;129.0;47.7368;42156.0
GKD-b_44_n150_m15.txt;117.0;39.2684;43868.0
GKD-b_44_n150_m15.txt;132.0;47.1115;50730.0
GKD-b_44_n150_m15.txt;137.0;45.3282;44410.0
GKD-b_45_n150_m15.txt;117.0;38.2344;40543.0
GKD-b_45_n150_m15.txt;124.0;37.5055;44860.0
GKD-b_45_n150_m15.txt;125.0;44.16;48481.0
GKD-b_45_n150_m15.txt;148.0;49.4615;48177.0
GKD-b_45_n150_m15.txt;135.0;41.4922;49453.0
GKD-b_46_n150_m45.txt;605.0;348.939;85193.0
GKD-b_46_n150_m45.txt;648.0;460.829;88284.0
GKD-b_46_n150_m45.txt;616.0;491.681;84569.0
GKD-b_46_n150_m45.txt;608.0;376.811;84448.0
GKD-b_46_n150_m45.txt;568.0;381.251;85179.0
GKD-b_47_n150_m45.txt;670.0;331.862;87250.0
GKD-b_47_n150_m45.txt;680.0;387.163;89705.0
GKD-b_47_n150_m45.txt;555.0;379.316;89920.0
GKD-b_47_n150_m45.txt;646.0;371.707;81908.0
GKD-b_47_n150_m45.txt;653.0;366.43;89261.0
GKD-b_48_n150_m45.txt;689.0;410.413;87014.0
GKD-b_48_n150_m45.txt;560.0;399.877;77696.0
GKD-b_48_n150_m45.txt;630.0;365.243;88768.0
GKD-b_48_n150_m45.txt;626.0;386.828;88747.0
GKD-b_48_n150_m45.txt;594.0;370.196;82773.0
GKD-b_49_n150_m45.txt;650.0;397.642;84139.0
GKD-b_49_n150_m45.txt;655.0;365.038;80692.0
GKD-b_49_n150_m45.txt;612.0;411.022;84666.0
GKD-b_49_n150_m45.txt;652.0;446.112;80892.0
GKD-b_49_n150_m45.txt;551.0;440.148;82725.0
GKD-b_50_n150_m45.txt;527.0;438.901;76954.0
GKD-b_50_n150_m45.txt;628.0;396.43;88228.0
GKD-b_50_n150_m45.txt;623.0;499.941;86170.0
GKD-b_50_n150_m45.txt;651.0;389.248;86732.0
GKD-b_50_n150_m45.txt;645.0;497.977;90000.0
