Fichero;Tiempo;Resultado;Evaluaciones
GKD-b_1_n25_m2.txt;133.0;0.0;100000.0
GKD-b_1_n25_m2.txt;128.0;0.0;100000.0
GKD-b_1_n25_m2.txt;129.0;0.0;100000.0
GKD-b_1_n25_m2.txt;129.0;0.0;100000.0
GKD-b_1_n25_m2.txt;127.0;0.0;100000.0
GKD-b_2_n25_m2.txt;130.0;0.0;100000.0
GKD-b_2_n25_m2.txt;127.0;0.0;100000.0
GKD-b_2_n25_m2.txt;127.0;0.0;100000.0
GKD-b_2_n25_m2.txt;126.0;0.0;100000.0
GKD-b_2_n25_m2.txt;128.0;0.0;100000.0
GKD-b_3_n25_m2.txt;126.0;0.0;100000.0
GKD-b_3_n25_m2.txt;126.0;0.0;100000.0
GKD-b_3_n25_m2.txt;127.0;0.0;100000.0
GKD-b_3_n25_m2.txt;127.0;0.0;100000.0
GKD-b_3_n25_m2.txt;127.0;0.0;100000.0
GKD-b_4_n25_m2.txt;131.0;0.0;100000.0
GKD-b_4_n25_m2.txt;126.0;0.0;100000.0
GKD-b_4_n25_m2.txt;126.0;0.0;100000.0
GKD-b_4_n25_m2.txt;127.0;0.0;100000.0
GKD-b_4_n25_m2.txt;128.0;0.0;100000.0
GKD-b_5_n25_m2.txt;126.0;0.0;100000.0
GKD-b_5_n25_m2.txt;132.0;0.0;100000.0
GKD-b_5_n25_m2.txt;128.0;0.0;100000.0
GKD-b_5_n25_m2.txt;129.0;0.0;100000.0
GKD-b_5_n25_m2.txt;128.0;0.0;100000.0
GKD-b_6_n25_m7.txt;179.0;12.718;100000.0
GKD-b_6_n25_m7.txt;175.0;12.718;100000.0
GKD-b_6_n25_m7.txt;173.0;12.718;100000.0
GKD-b_6_n25_m7.txt;171.0;13.4793;100000.0
GKD-b_6_n25_m7.txt;173.0;13.4792;100000.0
GKD-b_7_n25_m7.txt;172.0;14.0986;100000.0
GKD-b_7_n25_m7.txt;176.0;14.0986;100000.0
GKD-b_7_n25_m7.txt;173.0;14.0986;100000.0
GKD-b_7_n25_m7.txt;171.0;14.0986;100022.0
GKD-b_7_n25_m7.txt;179.0;14.0986;100000.0
GKD-b_8_n25_m7.txt;172.0;16.7612;100000.0
GKD-b_8_n25_m7.txt;168.0;16.7612;100000.0
GKD-b_8_n25_m7.txt;171.0;16.7612;100000.0
GKD-b_8_n25_m7.txt;168.0;16.7612;100000.0
GKD-b_8_n25_m7.txt;170.0;16.7612;100000.0
GKD-b_9_n25_m7.txt;180.0;17.0692;100000.0
GKD-b_9_n25_m7.txt;170.0;17.0692;100000.0
GKD-b_9_n25_m7.txt;172.0;17.0692;100000.0
GKD-b_9_n25_m7.txt;171.0;17.0692;100000.0
GKD-b_9_n25_m7.txt;170.0;17.0692;100000.0
GKD-b_10_n25_m7.txt;181.0;23.2651;100000.0
GKD-b_10_n25_m7.txt;179.0;23.2652;100000.0
GKD-b_10_n25_m7.txt;180.0;23.2652;100000.0
GKD-b_10_n25_m7.txt;178.0;23.2651;100000.0
GKD-b_10_n25_m7.txt;176.0;26.2379;100000.0
GKD-b_11_n50_m5.txt;159.0;3.67401;100000.0
GKD-b_11_n50_m5.txt;154.0;1.92609;100000.0
GKD-b_11_n50_m5.txt;159.0;3.67407;100000.0
GKD-b_11_n50_m5.txt;163.0;1.92609;100000.0
GKD-b_11_n50_m5.txt;167.0;3.56152;100000.0
GKD-b_12_n50_m5.txt;162.0;2.05127;100000.0
GKD-b_12_n50_m5.txt;166.0;2.05127;100000.0
GKD-b_12_n50_m5.txt;160.0;2.91382;100000.0
GKD-b_12_n50_m5.txt;167.0;2.05127;100000.0
GKD-b_12_n50_m5.txt;167.0;5.39001;100000.0
GKD-b_13_n50_m5.txt;166.0;4.58102;100000.0
GKD-b_13_n50_m5.txt;158.0;3.46381;100000.0
GKD-b_13_n50_m5.txt;170.0;5.13861;100000.0
GKD-b_13_n50_m5.txt;171.0;3.46384;100000.0
GKD-b_13_n50_m5.txt;158.0;3.92084;100000.0
GKD-b_14_n50_m5.txt;174.0;3.18564;100000.0
GKD-b_14_n50_m5.txt;166.0;3.79034;100000.0
GKD-b_14_n50_m5.txt;162.0;2.92218;100000.0
GKD-b_14_n50_m5.txt;166.0;3.79578;100000.0
GKD-b_14_n50_m5.txt;161.0;3.18564;100000.0
GKD-b_15_n50_m5.txt;165.0;3.39441;100000.0
GKD-b_15_n50_m5.txt;163.0;2.94379;100000.0
